"månad","institut","120 Summa tillgångar","103 Utlåning, Totalt","220 Summa skulder inkl. eget kapital","201 In-/upplåning, Totalt","203 Emitterade värdepapper","2035 Säkerställda obligationer, Emitterade"
"2018M05","Skandinaviska Enskilda Banken AB (Publ)",2400480,1541855,2400480,1203046,766708,331962
"2018M05","Swedbank AB (Publ)",1648180,993395,1648180,941900,413887,0
"2018M05","Svenska Handelsbanken AB (Publ)",2378371,1637541,2378371,1330559,791421,0
"2018M06","Skandinaviska Enskilda Banken AB (Publ)",2369433,1560641,2369433,1205770,734268,311508
"2018M06","Swedbank AB (Publ)",1754397,985618,1754397,982749,457857,0
"2018M06","Svenska Handelsbanken AB (Publ)",2407235,1655446,2407235,1370447,780875,0
"2018M07","Skandinaviska Enskilda Banken AB (Publ)",2288907,1538433,2288907,1211798,706764,314603
"2018M07","Swedbank AB (Publ)",1880197,997319,1880197,1003264,481251,0
"2018M07","Svenska Handelsbanken AB (Publ)",2436435,1625199,2436435,1336553,767042,0
"2018M08","Skandinaviska Enskilda Banken AB (Publ)",2340381,1587800,2340381,1195700,712677,321587
"2018M08","Swedbank AB (Publ)",1742102,1012693,1742102,948779,469532,0
"2018M08","Svenska Handelsbanken AB (Publ)",2414910,1627336,2414910,1364538,788964,0
"2018M09","Skandinaviska Enskilda Banken AB (Publ)",2321702,1597926,2321702,1202589,703560,321367
"2018M09","Swedbank AB (Publ)",1578537,1024829,1578537,880705,415223,0
"2018M09","Svenska Handelsbanken AB (Publ)",2321305,1611168,2321305,1319312,747869,0
"2018M10","Skandinaviska Enskilda Banken AB (Publ)",2384996,1587185,2384996,1234411,715625,320126
"2018M10","Swedbank AB (Publ)",1622146,1024562,1622146,889068,440693,0
"2018M10","Svenska Handelsbanken AB (Publ)",2336193,1631490,2336193,1321693,762858,0
"2018M11","Skandinaviska Enskilda Banken AB (Publ)",2349515,1566271,2349515,1252072,693285,322294
"2018M11","Swedbank AB (Publ)",1572218,1013813,1572218,906773,376011,0
"2018M11","Svenska Handelsbanken AB (Publ)",2380538,1623664,2380538,1349896,777787,0
"2018M12","Skandinaviska Enskilda Banken AB (Publ)",2138850,1566046,2138850,1094590,674120,327312
"2018M12","Swedbank AB (Publ)",1411493,1030213,1411493,835189,303408,0
"2018M12","Svenska Handelsbanken AB (Publ)",2083668,1466873,2083668,1112208,714756,0
"2019M01","Skandinaviska Enskilda Banken AB (Publ)",2274677,1582477,2274677,1165272,723727,329514
